product_id,product_name,category,price,name_flag,price_flag
PROD-0010,By Speak,clothing,,,0원
PROD-0378,Range Term,electronics,,,음수대체값
PROD-0254,Full Democrat9,home,,숫자포함_확인필요,결측
PROD-0149,Lead Senior7,unknown,,숫자포함_확인필요,음수대체값
PROD-0210,Reason Moment,electronics,,,음수대체값
PROD-0363,Decision Resource@,clothing,,,결측
PROD-0389,Item Operation,home,,,0원
PROD-0127,Good Each,electronics,,,0원
PROD-0205,Radio Center,clothing,,,음수대체값
PROD-0105,Republican Real,kitchen,,,결측
PROD-0262,Present Discuss,clothing,1200.0,,
PROD-0195,Especially Answer,home,1200.0,,
PROD-0474,Couple Learn,toys,14075.18,,
PROD-0487,Where At,clothing,42308.56,,
PROD-0229,Can Fund,home,20611.16,,
PROD-0130,Cover Say,beauty,24270.06,,
PROD-0147,Read Inside,kitchen,45160.61,,
PROD-0374,Total Program,kitchen,8661.32,,
PROD-0046,Wall People,beauty,47459.54,,
PROD-0044,Smile Order,electronics,4769.44,,
PROD-0161,Past Man,clothing,36231.03,,
PROD-0384,Require Goal,electronics,43713.59,,
PROD-0315,While Oil,home,21684.09,,
PROD-0093,Site Himself,sports,44789.91,,
PROD-0337,Use Pull,sports,1934.91,,
PROD-0005,A Hot,clothing,19165.58,,
PROD-0054,Too Far,clothing,46571.32,,
PROD-0268,Hold Learn,toys,45245.54,,
PROD-0239,Program Administration,beauty,1200.0,,
PROD-0457,Form Any,electronics,35821.87,,
