ticket_id,customer_id,issue_type,sentiment,ticket_created,ticket_resolved,resolution_time_hours,support_agent,ticket_created_raw,ticket_resolved_raw,support_agent_raw,date_flag,issue_flag,sentiment_flag,agent_flag
4252f78b-aa25-48db-b26e-d6684b44f5a3,ff89661a-b6de-4d44-81c6-c257e23787d8,payment,positive,,,156.0,Tammy Jones,,,tammy jones,복원불가(양쪽무효),,,
1247226d-2f49-4b66-852a-40a7b411e8d5,653ace18-911f-4895-be75-711c8d20560c,delay,negative,,,48.0,Marcus Barnes,2026-07-08T15:41:44.399318,31-15-2023,Marcus Barnes,복원불가(양쪽무효),,,
9ae95a3d-fdd6-4547-bf0c-019d761984f4,99680ac6-e86a-4d7d-aeb9-06da0f6befc2,refund,neutral,2025-05-20 20:13:54,2025-05-25 11:13:54,111.0,Juan Arellano,2025-05-20T20:13:54,31-15-2023,Juan Arellano,해결일시_복원(상수값),,,
e6f72ce6-a01d-458c-8bb9-85a09195f208,63571e79-acb2-4ed2-831b-abccc84726ce,refund,positive,,,26.0,Megan Chapman,2025-12-12T28:77:10,2025-12-12T28:77:10,Megan Chapman,복원불가(양쪽무효),,,
a5df0913-aa47-4418-b58e-6d8c0392544d,446232c5-0d77-4071-9d2f-4cb32ef07bf2,product,negative,2024-01-03 11:46:00,2024-01-07 18:46:00,103.0,Sarah Thomas,2024-01-03T11:46:00,31-15-2023,Sarah Thomas--,해결일시_복원(상수값),,,
6fe37aac-7801-4521-992d-10514e76f6e9,6eac2855-018d-4291-8917-c4633fd8f701,product,negative,2024-11-25 03:37:49,2024-11-28 15:37:49,84.0,Robert Anderson,2026-12-08T15:41:44.599422,2024-11-28T15:37:49, Robert Anderson,접수일시_복원(적재시각추정),,,
e6020769-0ede-4f7c-b527-9d3807aefb40,0b57f0d6-9b4b-41e5-bfc9-42832ab35f02,payment,negative,2025-02-13 15:17:27,2025-02-17 23:17:27,104.0,Sean Stout,2026-01-09T15:41:44.568690,2025-02-17T23:17:27,Sean Stout,접수일시_복원(적재시각추정),,,
54efc0a4-9207-4bde-8f32-1db7c4feb019,6bba6992-64d9-4764-a527-6cf8065c406b,refund,positive,2024-02-21 08:36:12,2024-03-02 00:36:12,232.0,Christopher Washington,31-15-2023,2024-03-02T00:36:12,Christopher Washington,접수일시_복원(상수값),,,
19eac2c0-0ad5-4fb4-90c4-95bdc72b484a,968a2b93-fc62-4be2-bf00-d0523d77452c,refund,negative,2024-12-29 22:32:01,2025-01-03 04:32:01,102.0,Katherine Hunt,2025-12-12T28:77:10,2025-01-03T04:32:01,Katherine Hunt,접수일시_복원(시각범위초과),,,
c02979e9-4534-4185-b934-9d0c4741f4b4,98a38b36-e814-4fb4-85c3-334bcd9aa8ec,product,neutral,2024-03-02 11:30:12,2024-03-03 15:30:12,28.0,Crystal Walton,2024-03-02T11:30:12,2024/31/01,Crystal Walton ,해결일시_복원(상수값),,,
10878a81-a02f-4b11-84af-c96bcd200e3b,c2293c6d-0f1c-4837-ab37-28e2b5287af0,product,negative,2023-12-06 22:13:19,2023-12-11 01:13:19,99.0,Cheryl Brown,2023-12-06T22:13:19,2023-12-11T01:13:19,Cheryl Brown,,,,
53313104-bb43-43a6-8aec-bb3b72bca3e4,0a204abe-c6a6-4897-9643-cbd8383c5d17,refund,neutral,2025-11-28 01:45:12,2025-12-05 03:45:12,170.0,Judy Barrera,2025-11-28T01:45:12,2025-12-05T03:45:12,Judy Barrera,,,,
57cfa588-83e8-45f1-954b-739db47d0121,e7529b3d-45d6-4320-91f3-5a469efd3e2d,refund,neutral,2025-04-16 12:53:24,2025-04-18 21:53:24,57.0,David Jones,2025-04-16T12:53:24,2025-04-18T21:53:24,David Jones,,,,
75daafe4-f73b-4ff5-9403-5dc7ab6fec4e,7bedbd20-0969-4eca-83f7-4a482f2f07b9,payment,positive,2025-09-03 05:11:23,2025-09-11 15:11:23,202.0,Henry Taylor,2025-09-03T05:11:23,2025-09-11T15:11:23,Henry Taylor,,,,
22885aa4-b28b-41c7-8b28-659f8e537061,e8dc2f3f-dcba-449e-a28f-9e5dd05ff773,refund,positive,2024-09-24 08:05:34,2024-09-28 14:05:34,102.0,William Murray,2024-09-24T08:05:34,2024-09-28T14:05:34,William Murray,,,,
3429395e-4d05-4e71-bb21-427cc5891d96,e1bf00de-200e-403b-a9da-6bd407fd7aa2,payment,negative,2025-07-31 14:01:50,2025-08-02 14:01:50,48.0,Caleb White,2025-07-31T14:01:50,2025-08-02T14:01:50,Caleb White,,,,
74c04a30-cc44-41b5-ac60-9b4e08892050,b8caea2d-a8cb-436d-ac60-352acd7e823e,product,neutral,2024-02-19 04:42:50,2024-02-20 21:42:50,41.0,Jessica Juarez,2024-02-19T04:42:50,2024-02-20T21:42:50,Jessica Juarez,,,,
eb6c83a8-cfd2-459a-9288-f9cf555df59c,ef818db0-7ed7-41bd-85bb-ef6ff341fd4e,product,positive,2024-04-16 23:43:14,2024-04-18 13:43:14,38.0,Kaylee Davis,2024-04-16T23:43:14,2024-04-18T13:43:14,Kaylee Davis,,,,
0ac8f146-dc10-489e-8aaa-7f32be43da56,dbc64961-aeb6-46e6-a630-0068c366556e,payment,negative,2024-12-29 07:06:39,2025-01-01 19:06:39,84.0,Catherine Parker,2024-12-29T07:06:39,2025-01-01T19:06:39,Catherine Parker,,,,
48e3e0ae-678a-4b8e-b69e-b11bdd2c065c,0f0971b4-3ba0-4bfc-bdf6-596fc79d6e7d,product,positive,2024-10-02 15:10:37,2024-10-11 23:10:37,224.0,Norma Wyatt,2024-10-02T15:10:37,2024-10-11T23:10:37,Norma Wyatt ,,,,
370a9aaa-79fc-46bd-89a4-1c3ff05bc281,d98bd8fd-4272-43bb-a737-53b2c260792d,product,positive,2025-02-12 05:19:14,2025-02-20 21:19:14,208.0,Ruth Morris,2025-02-12T05:19:14,2025-02-20T21:19:14,Ruth Morris,,,,
e3c8b742-f182-403b-a0a7-edb63164598f,d585ba55-1c25-4c48-a9b3-52c2f4f09a84,refund,positive,2024-03-21 03:55:49,2024-03-24 20:55:49,89.0,Briana Garcia,2024-03-21T03:55:49,2024-03-24T20:55:49,Briana Garcia,,,,
c8ea5d4d-5f06-4b39-ac74-696555342d7c,96c09b05-4a2a-49dc-ae25-8d0cd69377b6,delay,negative,2024-08-07 08:10:17,2024-08-10 09:10:17,73.0,Christian Juarez,2024-08-07T08:10:17,2024-08-10T09:10:17,Christian Juarez,,,,
bfdbbd66-6787-4fc1-9e82-419a0d67c39a,b9da5a0a-f98d-45f7-8890-db93d873da9f,payment,neutral,2024-08-09 05:14:25,2024-08-11 17:14:25,60.0,Ruth Morris,2024-08-09T05:14:25,2024-08-11T17:14:25,Ruth Morris--,,,,
8744b91e-5f78-4fc2-9479-906ae63de82f,81990de7-f0e9-4993-9869-012c76610264,payment,negative,2024-04-20 14:02:00,2024-04-26 21:02:00,151.0,Julie Bishop,2024-04-20T14:02:00,2024-04-26T21:02:00,Julie Bishop,,,,
66029749-0778-4042-bb46-a71e24768263,7c6b4f15-f0b7-4414-8748-0ef5baec8832,delay,positive,2024-10-06 17:45:23,2024-10-09 06:45:23,61.0,William Murray,2024-10-06T17:45:23,2024-10-09T06:45:23,William Murray,,,,
a2f49b92-4eeb-4e7c-8636-f4a02adca7c8,33169f8b-7d2c-41a0-b6c0-f862b28bda11,delay,positive,2024-12-22 11:20:30,2024-12-26 11:20:30,96.0,Ashley Lucas,2024-12-22T11:20:30,2024-12-26T11:20:30,Ashley Lucas,,,,
dce64231-bfb6-4b48-b8b7-16c923f4873d,43a5fcf4-64b1-4d1d-b666-bf9fd1cd6b0a,product,neutral,2024-12-29 16:27:34,2025-01-02 22:27:34,102.0,Savannah Kramer,2024-12-29T16:27:34,2025-01-02T22:27:34,Savannah Kramer,,,,
cd5be398-d2e7-44aa-9926-d82a9e3e903d,a60e1662-fc6d-4d35-ab66-d6212bb5b47c,refund,negative,2025-07-03 01:28:51,2025-07-12 19:28:51,234.0,Lisa Osborne,2025-07-03T01:28:51,2025-07-12T19:28:51,Lisa Osborne,,,,
3165be97-dd98-4277-b5f2-e1e6972770a5,2f3b8161-7efd-483c-8b98-66f4f73d3f21,delay,neutral,2024-09-11 16:36:03,2024-09-18 21:36:03,173.0,Anthony Sanchez,2024-09-11T16:36:03,2024-09-18T21:36:03,Anthony Sanchez,,,,
